field_name,used_in_dashboard,used_in_analysis,orphan_flag,notes
case_id,True,True,False,sources=phase1b_episode_research_log.csv|phase1b_comparison_log.csv|phase1b_preparation_quality.csv|phase1b_preparation_zones.csv
analysis_run_utc,False,True,False,sources=phase1b_episode_research_log.csv|phase1b_research_summary.csv
source_episode_file,False,True,False,sources=phase1b_episode_research_log.csv|phase1b_research_summary.csv
source_rows_file,False,True,False,sources=phase1b_episode_research_log.csv|phase1b_research_summary.csv
episode_id,True,True,False,sources=phase1b_episode_research_log.csv|phase1b_preparation_zones.csv
episode_start_time_utc,True,True,False,sources=phase1b_episode_research_log.csv|phase1b_preparation_zones.csv
episode_end_time_utc,True,True,False,sources=phase1b_episode_research_log.csv
start_row_id,False,True,False,sources=phase1b_episode_research_log.csv
end_row_id,False,True,False,sources=phase1b_episode_research_log.csv
duration_seconds,False,True,False,sources=phase1b_episode_research_log.csv
episode_date,False,True,False,sources=phase1b_episode_research_log.csv
peak_state,True,True,False,sources=phase1b_episode_research_log.csv
peak_layer_count,True,True,False,sources=phase1b_episode_research_log.csv|phase1b_comparison_log.csv
peak_max_severity,True,True,False,sources=phase1b_episode_research_log.csv|phase1b_comparison_log.csv
peak_primary_context,True,True,False,sources=phase1b_episode_research_log.csv|phase1b_comparison_log.csv
peak_conditions,True,True,False,long text field; primarily detailed review; sources=phase1b_episode_research_log.csv
peak_active_layers,True,True,False,sources=phase1b_episode_research_log.csv
peak_observation_confidence,True,True,False,sources=phase1b_episode_research_log.csv
start_price,False,True,False,sources=phase1b_episode_research_log.csv
end_price,False,True,False,sources=phase1b_episode_research_log.csv
peak_rvi,False,True,False,sources=phase1b_episode_research_log.csv
peak_velocity,False,True,False,sources=phase1b_episode_research_log.csv
peak_delta_zscore,False,True,False,sources=phase1b_episode_research_log.csv
price_at_1m,False,False,True,not referenced by current research_app.py or analysis scripts; sources=phase1b_episode_research_log.csv
